"id" "treatment"
"1" 2 "E2"
"2" 2 "Both"
"3" 4 "E2"
"4" 4 "Both"
"5" 5 "Both"
"6" 12 "E2"
"7" 12 "Both"
"8" 18 "Akt knockout"
"9" 26 "E2"
"10" 30 "E2"
"11" 30 "Akt knockout"
"12" 30 "Both"
"13" 31 "Akt knockout"
"14" 32 "Akt knockout"
"15" 33 "Both"
"16" 35 "Both"
"17" 36 "Akt knockout"
"18" 41 "E2"
"19" 41 "Both"
"20" 42 "Both"
"21" 65 "E2"
"22" 65 "Both"
"23" 81 "E2"
"24" 81 "Akt knockout"
"25" 81 "Both"
"26" 82 "E2"
"27" 84 "E2"
"28" 84 "Both"
"29" 85 "E2"
"30" 85 "Both"
"31" 86 "E2"
"32" 86 "Both"
"33" 92 "Both"
"34" 100 "E2"
"35" 100 "Both"
"36" 101 "E2"
"37" 101 "Both"
"38" 102 "E2"
"39" 102 "Both"
"40" 103 "Both"
"41" 104 "E2"
"42" 104 "Akt knockout"
"43" 104 "Both"
"44" 109 "Both"
"45" 114 "Both"
"46" 115 "Both"
"47" 119 "Akt knockout"
"48" 120 "Akt knockout"
"49" 121 "Akt knockout"
"50" 122 "E2"
"51" 122 "Both"
"52" 123 "Akt knockout"
"53" 124 "E2"
"54" 124 "Both"
"55" 126 "Akt knockout"
"56" 126 "Both"
"57" 127 "E2"
"58" 127 "Akt knockout"
"59" 135 "E2"
"60" 135 "Both"
"61" 139 "Akt knockout"
"62" 140 "E2"
"63" 142 "E2"
"64" 142 "Both"
"65" 144 "Akt knockout"
"66" 144 "Both"
"67" 145 "Akt knockout"
"68" 152 "Akt knockout"
"69" 154 "E2"
"70" 156 "Both"
"71" 161 "E2"
"72" 161 "Both"
"73" 162 "Both"
"74" 166 "E2"
"75" 166 "Akt knockout"
"76" 166 "Both"
"77" 174 "Akt knockout"
"78" 174 "Both"
"79" 176 "Both"
"80" 184 "Akt knockout"
"81" 187 "E2"
"82" 187 "Both"
"83" 189 "E2"
"84" 194 "E2"
"85" 194 "Akt knockout"
"86" 194 "Both"
"87" 196 "E2"
"88" 196 "Both"
"89" 200 "Akt knockout"
"90" 200 "Both"
"91" 202 "Akt knockout"
"92" 204 "Both"
"93" 206 "Akt knockout"
"94" 207 "E2"
"95" 207 "Both"
"96" 212 "Akt knockout"
"97" 212 "Both"
"98" 217 "Both"
"99" 218 "E2"
"100" 218 "Both"
"101" 224 "E2"
"102" 224 "Both"
"103" 225 "Both"
"104" 226 "E2"
"105" 226 "Both"
"106" 227 "Akt knockout"
"107" 230 "E2"
"108" 236 "E2"
"109" 236 "Both"
"110" 240 "Akt knockout"
"111" 249 "E2"
"112" 249 "Both"
"113" 250 "Akt knockout"
"114" 253 "E2"
"115" 254 "E2"
"116" 254 "Both"
"117" 260 "E2"
"118" 260 "Akt knockout"
"119" 260 "Both"
"120" 266 "E2"
"121" 272 "E2"
"122" 272 "Both"
"123" 275 "E2"
"124" 277 "E2"
"125" 277 "Both"
"126" 280 "E2"
"127" 280 "Akt knockout"
"128" 281 "E2"
"129" 281 "Both"
"130" 282 "Akt knockout"
"131" 290 "Akt knockout"
"132" 290 "Both"
"133" 291 "Both"
"134" 293 "Both"
"135" 295 "Akt knockout"
"136" 297 "Akt knockout"
"137" 297 "Both"
"138" 300 "Akt knockout"
"139" 301 "Akt knockout"
"140" 310 "E2"
"141" 312 "Akt knockout"
"142" 312 "Both"
"143" 315 "E2"
"144" 315 "Both"
"145" 326 "Both"
"146" 339 "Both"
"147" 346 "Akt knockout"
"148" 353 "E2"
"149" 357 "E2"
"150" 357 "Both"
"151" 358 "Both"
"152" 365 "E2"
"153" 365 "Akt knockout"
"154" 365 "Both"
"155" 367 "Akt knockout"
"156" 368 "E2"
"157" 368 "Both"
"158" 369 "E2"
"159" 369 "Both"
"160" 373 "E2"
"161" 373 "Akt knockout"
"162" 373 "Both"
"163" 375 "E2"
"164" 375 "Both"
"165" 376 "E2"
"166" 378 "Both"
"167" 380 "E2"
"168" 380 "Akt knockout"
"169" 380 "Both"
"170" 382 "E2"
"171" 382 "Akt knockout"
"172" 382 "Both"
"173" 383 "E2"
"174" 383 "Both"
"175" 386 "E2"
"176" 386 "Both"
"177" 391 "Akt knockout"
"178" 391 "Both"
"179" 392 "Akt knockout"
"180" 393 "Akt knockout"
"181" 393 "Both"
"182" 394 "E2"
"183" 400 "E2"
"184" 405 "E2"
"185" 405 "Both"
"186" 409 "Both"
"187" 410 "E2"
"188" 410 "Akt knockout"
"189" 411 "Both"
"190" 414 "E2"
"191" 414 "Both"
"192" 416 "Akt knockout"
"193" 419 "E2"
"194" 419 "Both"
"195" 421 "E2"
"196" 422 "Both"
"197" 425 "E2"
"198" 425 "Akt knockout"
"199" 425 "Both"
"200" 431 "E2"
"201" 431 "Both"
"202" 436 "Both"
"203" 438 "E2"
"204" 438 "Both"
"205" 440 "Both"
"206" 443 "Both"
"207" 444 "E2"
"208" 444 "Akt knockout"
"209" 456 "E2"
"210" 456 "Akt knockout"
"211" 456 "Both"
"212" 461 "Akt knockout"
"213" 461 "Both"
"214" 464 "Akt knockout"
"215" 465 "E2"
"216" 465 "Both"
"217" 469 "E2"
"218" 469 "Both"
"219" 496 "E2"
"220" 496 "Both"
"221" 514 "E2"
"222" 514 "Both"
"223" 515 "E2"
"224" 515 "Both"
"225" 516 "Akt knockout"
"226" 516 "Both"
"227" 520 "Both"
"228" 521 "E2"
"229" 521 "Both"
"230" 524 "Both"
"231" 525 "E2"
"232" 525 "Both"
"233" 526 "Both"
"234" 527 "Akt knockout"
"235" 527 "Both"
"236" 528 "E2"
"237" 537 "E2"
"238" 538 "E2"
"239" 542 "Akt knockout"
"240" 542 "Both"
"241" 543 "E2"
"242" 543 "Both"
"243" 544 "E2"
"244" 544 "Both"
"245" 545 "E2"
"246" 545 "Both"
"247" 546 "Both"
"248" 548 "Both"
"249" 552 "Akt knockout"
"250" 554 "E2"
"251" 554 "Both"
"252" 555 "E2"
"253" 555 "Both"
"254" 563 "E2"
"255" 565 "E2"
"256" 565 "Akt knockout"
"257" 576 "Both"
"258" 580 "Both"
"259" 584 "E2"
"260" 584 "Both"
"261" 594 "E2"
"262" 594 "Both"
"263" 596 "Both"
"264" 597 "Both"
"265" 601 "Akt knockout"
"266" 604 "E2"
"267" 604 "Akt knockout"
"268" 604 "Both"
"269" 606 "Akt knockout"
"270" 610 "E2"
"271" 612 "Both"
"272" 614 "E2"
"273" 614 "Akt knockout"
"274" 614 "Both"
"275" 615 "E2"
"276" 615 "Both"
"277" 620 "E2"
"278" 621 "Akt knockout"
"279" 621 "Both"
"280" 623 "E2"
"281" 623 "Both"
"282" 624 "E2"
"283" 624 "Akt knockout"
"284" 624 "Both"
"285" 625 "Both"
"286" 626 "E2"
"287" 630 "Both"
"288" 633 "E2"
"289" 640 "E2"
"290" 640 "Akt knockout"
"291" 640 "Both"
"292" 643 "Akt knockout"
"293" 643 "Both"
"294" 645 "Both"
"295" 651 "E2"
"296" 651 "Akt knockout"
"297" 654 "Both"
"298" 658 "E2"
"299" 658 "Akt knockout"
"300" 658 "Both"
"301" 661 "Both"
"302" 662 "Both"
"303" 677 "Akt knockout"
"304" 681 "Akt knockout"
"305" 681 "Both"
"306" 684 "E2"
"307" 684 "Both"
"308" 687 "E2"
"309" 687 "Both"
"310" 689 "Both"
"311" 696 "Akt knockout"
"312" 698 "E2"
"313" 698 "Both"
"314" 700 "E2"
"315" 701 "Both"
"316" 706 "Both"
"317" 712 "E2"
"318" 712 "Both"
"319" 713 "E2"
"320" 713 "Both"
"321" 714 "E2"
"322" 714 "Both"
"323" 719 "E2"
"324" 719 "Akt knockout"
"325" 719 "Both"
"326" 722 "Akt knockout"
"327" 727 "E2"
"328" 727 "Akt knockout"
"329" 729 "E2"
"330" 729 "Akt knockout"
"331" 729 "Both"
"332" 731 "E2"
"333" 731 "Akt knockout"
"334" 732 "Akt knockout"
"335" 734 "E2"
"336" 734 "Both"
"337" 741 "Both"
"338" 751 "E2"
"339" 751 "Both"
"340" 752 "Both"
"341" 754 "E2"
"342" 754 "Both"
"343" 755 "Akt knockout"
"344" 764 "Akt knockout"
"345" 766 "E2"
"346" 766 "Both"
"347" 769 "E2"
"348" 769 "Both"
"349" 784 "E2"
"350" 784 "Akt knockout"
"351" 784 "Both"
"352" 785 "E2"
"353" 785 "Akt knockout"
"354" 785 "Both"
"355" 786 "Akt knockout"
"356" 787 "Both"
"357" 793 "Akt knockout"
"358" 795 "E2"
"359" 795 "Both"
"360" 800 "E2"
"361" 800 "Both"
"362" 801 "E2"
"363" 801 "Both"
"364" 802 "E2"
"365" 802 "Akt knockout"
"366" 802 "Both"
"367" 803 "E2"
"368" 815 "E2"
"369" 816 "E2"
"370" 817 "E2"
